id,id_tempat,jam_buka,jam_tutup,hari
298,1,00:00,23:59,kamis
299,2,00:00,23:59,kamis
300,3,00:00,23:59,kamis
301,4,00:00,23:59,kamis
302,5,16:00,18:00,kamis
303,6,08:00,15:00,kamis
304,7,00:00,23:59,kamis
305,8,08:00,16:00,kamis
306,9,00:00,23:59,kamis
307,10,00:00,23:59,kamis
308,11,05:00,16:00,kamis
309,12,09:00,15:00,kamis
310,13,00:00,23:59,kamis
311,14,08:00,16:00,kamis
312,15,00:00,23:59,kamis
313,16,08:00,17:00,kamis
314,17,06:00,18:00,kamis
315,18,09:00,17:00,kamis
316,19,07:30,16:00,kamis
317,20,09:00,17:00,kamis
318,21,00:00,23:59,kamis
319,22,09:00,21:00,kamis
320,23,00:00,23:59,kamis
321,24,08:00,21:00,kamis
322,25,08:30,14:00,kamis
323,26,00:00,23:59,kamis
324,27,00:00,23:59,kamis
325,28,10:00,21:00,kamis
326,29,07:00,18:00,kamis
327,30,00:00,23:59,kamis
328,31,09:00,17:00,kamis
329,32,08:30,21:00,kamis
330,33,00:00,23:59,kamis
331,34,07:00,17:00,kamis
332,35,11:00,21:00,kamis
333,36,09:00,21:00,kamis
334,37,00:00,23:59,kamis
335,38,09:00,15:00,kamis
336,39,07:00,16:00,kamis
337,40,08:00,21:00,kamis
338,41,08:30,15:00,kamis
339,42,10:00,21:00,kamis
340,43,17:00,23:59,kamis
341,44,08:00,17:00,kamis
342,45,09:00,17:00,kamis
343,46,00:00,23:59,kamis
344,47,08:00,17:00,kamis
345,48,09:00,18:00,kamis
346,49,00:00,23:59,kamis
347,50,06:00,21:00,kamis
348,51,00:00,23:59,kamis
349,52,00:00,23:59,kamis
350,53,12:00,22:00,kamis
351,54,00:00,00:00,kamis
352,55,07:30,16:30,kamis
353,56,08:00,21:00,kamis
354,57,08:00,21:00,kamis
355,58,08:00,17:00,kamis
356,59,03:15,23:30,kamis
357,60,08:00,16:00,kamis
358,61,10:00,23:00,kamis
359,62,06:30,16:30,kamis
360,63,07:30,16:00,kamis
361,64,07:00,18:00,kamis
362,65,08:00,17:00,kamis
363,66,10:00,22:00,kamis
364,67,09:00,16:00,kamis
365,68,09:00,15:00,kamis
366,69,08:30,14:00,kamis
367,70,08:30,16:00,kamis
368,71,08:00,21:00,kamis
369,72,09:00,15:00,kamis
370,73,00:00,23:59,kamis
371,74,00:00,23:59,kamis
372,75,06:30,17:00,kamis
373,76,07:30,16:00,kamis
374,77,08:00,14:00,kamis
375,78,09:00,16:00,kamis
376,79,06:00,18:00,kamis
377,80,09:00,17:00,kamis
378,81,07:30,16:00,kamis
379,82,08:00,13:30,kamis
380,83,16:30,22:00,kamis
381,84,06:00,17:00,kamis
382,85,08:00,21:00,kamis
383,86,06:00,18:00,kamis
384,87,08:30,15:30,kamis
385,88,00:00,23:59,kamis
386,89,00:00,23:59,kamis
387,90,08:30,15:30,kamis
388,91,08:00,15:30,kamis
389,92,08:00,18:00,kamis
390,93,06:00,21:00,kamis
391,94,06:00,18:00,kamis
392,95,08:00,18:00,kamis
393,96,00:00,23:59,kamis
394,97,14:00,18:00,kamis
395,98,10:00,17:00,kamis
396,99,09:00,16:30,kamis
397,1,00:00,23:59,jumat
398,2,00:00,23:59,jumat
399,3,00:00,23:59,jumat
400,4,00:00,23:59,jumat
401,5,16:00,18:00,jumat
402,6,08:00,15:00,jumat
403,7,00:00,23:59,jumat
404,8,08:00,14:30,jumat
405,9,00:00,23:59,jumat
406,10,00:00,23:59,jumat
407,11,05:00,16:00,jumat
408,12,09:00,15:00,jumat
409,13,00:00,23:59,jumat
410,14,08:00,16:00,jumat
411,15,00:00,23:59,jumat
412,16,08:00,17:00,jumat
413,17,06:00,18:00,jumat
414,18,09:00,17:00,jumat
415,19,07:30,16:00,jumat
416,20,09:00,17:00,jumat
417,21,00:00,23:59,jumat
418,22,09:00,21:00,jumat
419,23,00:00,23:59,jumat
420,24,08:00,21:00,jumat
421,25,08:30,14:00,jumat
422,26,00:00,23:59,jumat
423,27,00:00,23:59,jumat
424,28,10:00,21:00,jumat
425,29,07:00,18:00,jumat
426,30,00:00,23:59,jumat
427,31,09:00,17:00,jumat
428,32,08:30,21:00,jumat
429,33,00:00,23:59,jumat
430,34,07:00,17:00,jumat
431,35,11:00,21:00,jumat
432,36,09:00,22:00,jumat
433,37,00:00,23:59,jumat
434,38,09:00,15:00,jumat
435,39,07:00,16:00,jumat
436,40,08:00,21:00,jumat
437,41,08:30,15:00,jumat
438,42,10:00,21:00,jumat
439,43,17:00,23:59,jumat
440,44,08:00,17:00,jumat
441,45,09:00,17:00,jumat
442,46,00:00,23:59,jumat
443,47,08:00,17:00,jumat
444,48,09:00,18:00,jumat
445,49,00:00,23:59,jumat
446,50,06:00,21:00,jumat
447,51,00:00,23:59,jumat
448,52,00:00,23:59,jumat
449,53,12:00,22:00,jumat
450,54,00:00,00:00,jumat
451,55,08:00,16:00,jumat
452,56,08:00,21:00,jumat
453,57,08:00,21:00,jumat
454,58,08:00,17:00,jumat
455,59,03:15,23:30,jumat
456,60,08:00,16:00,jumat
457,61,10:00,23:00,jumat
458,62,06:30,16:30,jumat
459,63,07:30,16:00,jumat
460,64,07:00,18:00,jumat
461,65,08:00,17:00,jumat
462,66,10:00,22:00,jumat
463,67,09:00,16:00,jumat
464,68,09:00,15:00,jumat
465,69,08:30,12:00,jumat
466,70,08:30,16:00,jumat
467,71,08:00,21:00,jumat
468,72,09:00,15:00,jumat
469,73,00:00,23:59,jumat
470,74,00:00,23:59,jumat
471,75,06:30,17:00,jumat
472,76,07:30,16:00,jumat
473,77,08:00,11:00,jumat
474,78,09:00,16:00,jumat
475,79,06:00,18:00,jumat
476,80,09:00,17:00,jumat
477,81,07:30,16:00,jumat
478,82,08:00,11:00,jumat
479,83,16:30,23:00,jumat
480,84,06:00,17:00,jumat
481,85,08:00,21:00,jumat
482,86,06:00,18:00,jumat
483,87,08:30,13:30,jumat
484,88,00:00,23:59,jumat
485,89,00:00,23:59,jumat
486,90,08:30,15:30,jumat
487,91,08:00,14:00,jumat
488,92,08:00,18:00,jumat
489,93,06:00,21:00,jumat
490,94,06:00,18:00,jumat
491,95,08:00,18:00,jumat
492,96,00:00,23:59,jumat
493,97,14:00,18:00,jumat
494,98,10:00,17:00,jumat
495,99,09:00,16:30,jumat
496,1,00:00,23:59,sabtu
497,2,00:00,23:59,sabtu
498,3,00:00,23:59,sabtu
499,4,00:00,23:59,sabtu
500,5,16:00,18:00,sabtu
501,6,08:00,15:00,sabtu
502,7,00:00,23:59,sabtu
503,8,08:00,16:00,sabtu
504,9,00:00,23:59,sabtu
505,10,00:00,23:59,sabtu
506,11,05:00,16:00,sabtu
507,12,09:00,15:00,sabtu
508,13,00:00,23:59,sabtu
509,14,08:00,16:00,sabtu
510,15,00:00,23:59,sabtu
511,16,08:00,17:00,sabtu
512,17,06:00,18:00,sabtu
513,18,09:00,17:00,sabtu
514,19,00:00,00:00,sabtu
515,20,09:00,17:00,sabtu
516,21,00:00,23:59,sabtu
517,22,09:00,21:00,sabtu
518,23,00:00,23:59,sabtu
519,24,08:00,21:00,sabtu
520,25,08:30,23:59,sabtu
521,26,00:00,23:59,sabtu
522,27,00:00,23:59,sabtu
523,28,10:00,21:00,sabtu
524,29,07:00,18:00,sabtu
525,30,00:00,23:59,sabtu
526,31,09:00,17:00,sabtu
527,32,08:30,21:00,sabtu
528,33,00:00,23:59,sabtu
529,34,07:00,17:30,sabtu
530,35,11:00,21:00,sabtu
531,36,09:00,22:00,sabtu
532,37,00:00,23:59,sabtu
533,38,09:00,15:00,sabtu
534,39,07:00,16:00,sabtu
535,40,08:00,22:00,sabtu
536,41,08:30,15:00,sabtu
537,42,08:00,21:00,sabtu
538,43,17:00,23:59,sabtu
539,44,08:00,17:00,sabtu
540,45,09:00,17:00,sabtu
541,46,00:00,23:59,sabtu
542,47,08:00,17:00,sabtu
543,48,09:00,18:00,sabtu
544,49,00:00,23:59,sabtu
545,50,06:00,21:00,sabtu
546,51,00:00,23:59,sabtu
547,52,00:00,23:59,sabtu
548,53,12:00,22:00,sabtu
549,54,08:00,17:00,sabtu
550,55,07:30,16:30,sabtu
551,56,00:00,00:00,sabtu
552,57,08:00,22:00,sabtu
553,58,08:00,17:00,sabtu
554,59,05:00,23:30,sabtu
555,60,08:00,16:00,sabtu
556,61,10:00,23:00,sabtu
557,62,06:30,16:30,sabtu
558,63,00:00,00:00,sabtu
559,64,07:00,18:00,sabtu
560,65,08:00,17:00,sabtu
561,66,10:00,22:00,sabtu
562,67,09:00,16:00,sabtu
563,68,09:00,15:00,sabtu
564,69,08:30,14:00,sabtu
565,70,08:30,16:00,sabtu
566,71,08:00,21:00,sabtu
567,72,08:30,16:00,sabtu
568,73,00:00,23:59,sabtu
569,74,00:00,23:59,sabtu
570,75,06:30,17:00,sabtu
571,76,07:30,16:00,sabtu
572,77,00:00,00:00,sabtu
573,78,09:00,16:00,sabtu
574,79,06:00,18:00,sabtu
575,80,08:00,18:00,sabtu
576,81,07:30,16:00,sabtu
577,82,08:00,13:00,sabtu
578,83,16:30,23:00,sabtu
579,84,06:00,17:00,sabtu
